"position","const","created","modified","description","Title","Title.type","Directors","ForPeopleNotSheeple.rated","IMDb.Rating","Runtime..mins.","Year","Genres","Num..Votes","Release.Date..month.day.year.","URL","id"
4829,"tt0089003","Mon Apr 22 18:38:53 2013","Mon Apr 22 18:38:53 2013","","Death Wish 3","Feature Film","Michael Winner",NA,5.9,92,"1985","action, crime, drama, thriller",9402,"1985-11-01","http://www.imdb.com/title/tt0089003/","0089003"
1552,"tt0765447","Mon Apr 22 18:28:27 2013","Mon Apr 22 18:28:27 2013","","Evening","Feature Film","Lajos Koltai",NA,6.6,117,"2007","drama, romance",11339,"2007-06-09","http://www.imdb.com/title/tt0765447/","0765447"
1081,"tt0101540","Mon Apr 22 18:27:27 2013","Mon Apr 22 18:27:27 2013","","Cape Fear","Feature Film","Martin Scorsese",7,7.3,128,"1991","crime, thriller",119535,"1991-11-15","http://www.imdb.com/title/tt0101540/","0101540"
3461,"tt0091738","Mon Apr 22 18:34:44 2013","Mon Apr 22 18:34:44 2013","","Peggy Sue Got Married","Feature Film","Francis Coppola",6,6.3,103,"1986","comedy, drama, fantasy, music, romance",26014,"1986-10-05","http://www.imdb.com/title/tt0091738/","0091738"
7344,"tt0092732","Thu Apr 25 03:00:32 2013","Thu Apr 25 03:00:32 2013","","Castaway","Feature Film","Nicolas Roeg",NA,5.9,117,"1986","adventure, drama",2434,"1986-11-13","http://www.imdb.com/title/tt0092732/","0092732"
5859,"tt0286162","Mon Apr 22 18:41:21 2013","Mon Apr 22 18:41:21 2013","","Stolen Summer","Feature Film","Pete Jones",NA,6.5,91,"2002","drama",2384,"2002-01","http://www.imdb.com/title/tt0286162/","0286162"
6139,"tt0085919","Mon Apr 22 18:42:13 2013","Mon Apr 22 18:42:13 2013","","Max Dugan Returns","Feature Film","Herbert Ross",NA,6.5,98,"1983","comedy, drama",2582,"1983-03-25","http://www.imdb.com/title/tt0085919/","0085919"
8040,"tt0286809","Mon Apr 29 17:39:45 2013","Mon Apr 29 17:39:45 2013","","Marilyn Monroe: The Final Days","Documentary","Patty Ivins",NA,8,90,"2001","documentary, biography",611,"2001-06-01","http://www.imdb.com/title/tt0286809/","0286809"
699,"tt2310332","Mon Apr 22 18:26:03 2013","Mon Apr 22 18:26:03 2013","","The Hobbit: The Battle of the Five Armies","Feature Film","Peter Jackson",7,7.5,144,"2014","adventure, fantasy",307319,"2014-12-01","http://www.imdb.com/title/tt2310332/","2310332"
239,"tt0325980","Mon Apr 22 18:23:55 2013","Mon Apr 22 18:23:55 2013","","Pirates of the Caribbean: The Curse of the Black Pearl","Feature Film","Gore Verbinski",8,8.1,143,"2003","action, adventure, fantasy",745393,"2003-06-28","http://www.imdb.com/title/tt0325980/","0325980"
1294,"tt0116136","Mon Apr 22 18:27:58 2013","Mon Apr 22 18:27:58 2013","","DragonHeart","Feature Film","Rob Cohen",NA,6.4,103,"1996","action, adventure, drama, fantasy",75283,"1996-05-31","http://www.imdb.com/title/tt0116136/","0116136"
4870,"tt0112966","Mon Apr 22 18:38:54 2013","Mon Apr 22 18:38:54 2013","","The Englishman Who Went Up a Hill But Came Down a Mountain","Feature Film","Christopher Monger",NA,6.6,99,"1995","comedy, drama",12929,"1995-05-12","http://www.imdb.com/title/tt0112966/","0112966"
8210,"tt0215835","Mon Apr 29 17:40:15 2013","Mon Apr 29 17:40:15 2013","","Heart: The Marilyn Bell Story","TV Movie","Manon Briand",NA,6.6,NA,"2001","adventure, biography, drama, sport",119,"2001-02-04","http://www.imdb.com/title/tt0215835/","0215835"
1889,"tt0104036","Mon Apr 22 18:29:30 2013","Mon Apr 22 18:29:30 2013","","The Crying Game","Feature Film","Neil Jordan",6,7.3,112,"1992","crime, drama, romance, thriller",39665,"1992-09-02","http://www.imdb.com/title/tt0104036/","0104036"
2987,"tt1235448","Mon Apr 22 18:33:23 2013","Mon Apr 22 18:33:23 2013","","The Thaw","Feature Film","Mark A. Lewis",NA,5.2,90,"2009","horror, sci_fi, thriller",9175,"2009-08-30","http://www.imdb.com/title/tt1235448/","1235448"
6194,"tt0142240","Mon Apr 22 18:42:14 2013","Mon Apr 22 18:42:14 2013","","Dragon Ball Z: The World's Strongest","Feature Film","Daisuke Nishio",NA,7.1,59,"1990","animation, action, adventure, sci_fi, thriller",3400,"1990-03-10","http://www.imdb.com/title/tt0142240/","0142240"
9522,"tt1625335","Thu Feb 12 09:04:53 2015","Thu Feb 12 09:04:53 2015","","Popeye","Feature Film","",NA,NA,NA,"????","animation",NA,"","http://www.imdb.com/title/tt1625335/","1625335"
7337,"tt0119994","Thu Apr 25 03:00:32 2013","Thu Apr 25 03:00:32 2013","","Red Corner","Feature Film","Jon Avnet",NA,6.2,122,"1997","action, crime, drama, romance, thriller",12491,"1997-10-31","http://www.imdb.com/title/tt0119994/","0119994"
4962,"tt0087903","Mon Apr 22 18:38:55 2013","Mon Apr 22 18:38:55 2013","","The Perils of Gwendoline in the Land of the Yik Yak","Feature Film","Just Jaeckin",NA,5.2,105,"1984","adventure, fantasy",1870,"1984-02-08","http://www.imdb.com/title/tt0087903/","0087903"
3724,"tt0134067","Mon Apr 22 18:35:48 2013","Mon Apr 22 18:35:48 2013","","The Rugrats Movie","Feature Film","Igor Kovalyov, Norton Virgien",NA,5.8,79,"1998","animation, adventure, comedy, drama, family",13093,"1998-11-08","http://www.imdb.com/title/tt0134067/","0134067"
8295,"tt0080180","Mon Apr 29 18:16:32 2013","Mon Apr 29 18:16:32 2013","","Zulu Dawn","Feature Film","Douglas Hickox",5,6.6,117,"1979","adventure, drama, history, war",4654,"1979-05-15","http://www.imdb.com/title/tt0080180/","0080180"
8859,"tt0167187","Mon Apr 29 19:23:53 2013","Mon Apr 29 19:23:53 2013","","Great Expectations","TV Movie","Julian Jarrold",NA,7.3,168,"1999","drama",1413,"1999-04-12","http://www.imdb.com/title/tt0167187/","0167187"
2695,"tt0107978","Mon Apr 22 18:31:47 2013","Mon Apr 22 18:31:47 2013","","RoboCop 3","Feature Film","Fred Dekker",NA,3.9,104,"1993","action, crime, drama, sci_fi",32798,"1993-05-01","http://www.imdb.com/title/tt0107978/","0107978"
7621,"tt0070158","Thu Apr 25 03:01:34 2013","Thu Apr 25 03:01:34 2013","","Harry in Your Pocket","Feature Film","Bruce Geller",NA,6.4,103,"1973","comedy, crime, drama",832,"1973-09-23","http://www.imdb.com/title/tt0070158/","0070158"
948,"tt0395495","Mon Apr 22 18:27:03 2013","Mon Apr 22 18:27:03 2013","","Catch and Release","Feature Film","Susannah Grant",NA,6,124,"2006","comedy, drama, romance",17910,"2006-10-20","http://www.imdb.com/title/tt0395495/","0395495"
2534,"tt0240468","Mon Apr 22 18:31:21 2013","Mon Apr 22 18:31:21 2013","","Kung Pow: Enter the Fist","Feature Film","Steve Oedekerk",NA,6.2,81,"2002","action, comedy",36310,"2002-01-25","http://www.imdb.com/title/tt0240468/","0240468"
8467,"tt2112868","Mon Apr 29 18:17:01 2013","Mon Apr 29 18:17:01 2013","","Under African Skies","Documentary","Joe Berlinger",NA,7.7,108,"2012","documentary, biography, history, music",364,"2012-01-22","http://www.imdb.com/title/tt2112868/","2112868"
1881,"tt0100935","Mon Apr 22 18:29:30 2013","Mon Apr 22 18:29:30 2013","","Wild at Heart","Feature Film","David Lynch",8,7.3,125,"1990","comedy, crime, thriller",57776,"1990-05","http://www.imdb.com/title/tt0100935/","0100935"
297,"tt1411697","Mon Apr 22 18:23:56 2013","Mon Apr 22 18:23:56 2013","","The Hangover Part II","Feature Film","Todd Phillips",NA,6.5,102,"2011","comedy",351233,"2011-05-19","http://www.imdb.com/title/tt1411697/","1411697"
5972,"tt0087951","Mon Apr 22 18:41:46 2013","Mon Apr 22 18:41:46 2013","","Protocol","Feature Film","Herbert Ross",NA,5.4,96,"1984","comedy",3317,"1984-12-21","http://www.imdb.com/title/tt0087951/","0087951"
2889,"tt0109484","Mon Apr 22 18:33:22 2013","Mon Apr 22 18:33:22 2013","","Corrina, Corrina","Feature Film","Jessie Nelson",NA,6.5,115,"1994","comedy, drama, romance",9530,"1994-08-12","http://www.imdb.com/title/tt0109484/","0109484"
3854,"tt0087810","Mon Apr 22 18:36:17 2013","Mon Apr 22 18:36:17 2013","","No Small Affair","Feature Film","Jerry Schatzberg",NA,5.5,102,"1984","comedy, drama, music, romance",1432,"1984-11-09","http://www.imdb.com/title/tt0087810/","0087810"
7847,"tt1155592","Mon Apr 29 17:38:36 2013","Mon Apr 29 17:38:36 2013","","Man on Wire","Documentary","James Marsh",NA,7.9,94,"2008","documentary, biography, history",35989,"2008-01-22","http://www.imdb.com/title/tt1155592/","1155592"
1637,"tt0830558","Mon Apr 22 18:28:28 2013","Mon Apr 22 18:28:28 2013","","The Girl Next Door","Feature Film","Gregory M. Wilson",NA,6.7,91,"2007","crime, drama, horror, thriller",17215,"2007-07-19","http://www.imdb.com/title/tt0830558/","0830558"
8354,"tt0104797","Mon Apr 29 18:16:33 2013","Mon Apr 29 18:16:33 2013","","Malcolm X","Feature Film","Spike Lee",6,7.7,202,"1992","biography, drama, romance",60273,"1992-11-18","http://www.imdb.com/title/tt0104797/","0104797"
1607,"tt0466893","Mon Apr 22 18:28:28 2013","Mon Apr 22 18:28:28 2013","","Margaret","Feature Film","Kenneth Lonergan",NA,6.5,150,"2011","drama",11460,"2011-09-30","http://www.imdb.com/title/tt0466893/","0466893"
